Loading repository data...
Reading installed packages...
S  | Name                    | Version           | Repository                | Dependency
   | print_server            | 20210330-8.4      | openSUSE-20250206-0       | 
   | selinux                 | 20200505-62.1     | Main Repository (OSS)     | 
   | selinux                 | 20200505-62.1     | openSUSE-20250206-0       | 
i  | sw_management           | 20200505-62.1     | Main Repository (OSS)     | 
i  | sw_management           | 20200505-62.1     | openSUSE-20250206-0       | 
   | sway                    | 20200619-6.4      | Main Repository (OSS)     | 
   | sway                    | 20200619-6.4      | openSUSE-20250206-0       | 
   | technical_writing       | 20201106-4.2      | Main Repository (OSS)     | 
   | technical_writing       | 20201106-4.2      | openSUSE-20250206-0       | 
   | update_test             | 20200505-62.1     | Main Repository (OSS)     | 
   | update_test             | 20200505-62.1     | openSUSE-20250206-0       | 
   | wsl_base                | 20240327-1.2      | Main Repository (OSS)     | 
   | wsl_base                | 20240327-1.2      | openSUSE-20250206-0       | 
   | wsl_gui                 | 20240327-1.2      | Main Repository (OSS)     | 
   | wsl_gui                 | 20240327-1.2      | openSUSE-20250206-0       | 
   | wsl_systemd             | 20240327-1.2      | Main Repository (OSS)     | 
   | wsl_systemd             | 20240327-1.2      | openSUSE-20250206-0       | 
i+ | x11                     | 20200505-62.1     | Main Repository (OSS)     | 
i+ | x11                     | 20200505-62.1     | openSUSE-20250206-0       | 
i+ | x11_yast                | 20220411-1.8      | Main Repository (OSS)     | 
i+ | x11_yast                | 20220411-1.8      | openSUSE-20250206-0       | 
i  | x86_64_v3               | 20230201-3.4      | Main Repository (OSS)     | 
i  | x86_64_v3               | 20230201-3.4      | openSUSE-20250206-0       | 
   | xen_server              | 20210330-8.4      | Main Repository (OSS)     | 
   | xen_server              | 20210330-8.4      | openSUSE-20250206-0       | 
   | xen_tools               | 20210330-8.4      | Main Repository (OSS)     | 
   | xen_tools               | 20210330-8.4      | openSUSE-20250206-0       | 
   | xfce                    | 20230212-4.4      | Main Repository (OSS)     | 
   | xfce                    | 20230212-4.4      | openSUSE-20250206-0       | 
   | xfce_extra              | 20230212-4.4      | Main Repository (OSS)     | 
   | xfce_extra              | 20230212-4.4      | openSUSE-20250206-0       | 
i+ | yast2_basis             | 20220411-1.8      | Main Repository (OSS)     | 
i+ | yast2_basis             | 20220411-1.8      | openSUSE-20250206-0       | 
i  | yast2_desktop           | 20220411-1.8      | Main Repository (OSS)     | 
i  | yast2_desktop           | 20220411-1.8      | openSUSE-20250206-0       | 
   | yast2_server            | 20220411-1.8      | Main Repository (OSS)     | 
   | yast2_server            | 20220411-1.8      | openSUSE-20250206-0       | 
