Loading repository data...
Reading installed packages...
S  | Repository                             | Name                                       | Version                                      | Arch
i  | openSUSE-Tumbleweed-Oss                | chafa                                      | 1.12.5-1.2                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | checkmedia                                 | 6.2-1.1                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | chkstat                                    | 1699_20230602-1.4                            | x86_64
i+ | openSUSE-Tumbleweed-Oss                | chrony                                     | 4.3-2.4                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | chrony-pool-openSUSE                       | 4.3-2.4                                      | noarch
i  | openSUSE-Tumbleweed-Oss                | cifs-utils                                 | 7.0-2.3                                      | x86_64
i  | openSUSE-Tumbleweed-Oss                | clutter-devel                              | 1.26.4-4.9                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | clutter-gst-devel                          | 3.0.27-2.3                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | clutter-gtk-devel                          | 1.8.4-5.19                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | cmake                                      | 3.26.4-3.1                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | cmake-full                                 | 3.26.4-3.1                                   | x86_64
i  | openSUSE-Tumbleweed-Oss                | cmake-man                                  | 3.26.4-3.1                                   | x86_64
i+ | Visual Studio Code                     | code                                       | 1.80.1-1689183644.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.80.0-1688479104.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.79.2-1686734266.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.79.1-1686587726.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.79.0-1686149197.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.78.2-1683731087.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.78.1-1683194632.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.78.0-1683145689.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.77.3-1681292829.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.77.2-1680777222.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.77.1-1680651749.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.77.0-1680085658.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.76.2-1678817890.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.76.1-1678294353.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.76.0-1677667581.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.75.1-1675893486.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.75.0-1675266708.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.74.3-1673284922.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.74.2-1671533504.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.74.1-1671015385.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.74.0-1670260117.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.73.1-1667967421.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.73.0-1667318873.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.72.2-1665614416.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.72.1-1665423941.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.72.0-1664927055.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.71.2-1663191299.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.71.1-1662667351.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.71.0-1662018467.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.70.2-1660629488.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.70.1-1660113182.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.70.0-1659589373.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.69.2-1658162074.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.69.1-1657615803.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.69.0-1657183798.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.68.1-1655263151.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.68.0-1654690163.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.67.2-1652812909.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.67.1-1651841920.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.67.0-1651667301.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.66.2-1649664637.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.66.1-1649257913.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.66.0-1648620680.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.65.2-1646927812.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.65.1-1646706566.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.65.0-1646220750.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.64.2-1644445844.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.64.1-1644255919.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.64.0-1643864066.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.63.2-1639562596.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.63.1-1639448925.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.63.0-1638855621.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.62.3-1637137194.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.62.2-1636665099.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.62.1-1636111127.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.62.0-1635954170.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.61.2-1634656920.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.61.1-1634175569.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.61.0-1633631470.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.60.2-1632313693.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.60.1-1631294889.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.60.0-1630494372.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.59.1-1629375274.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.59.0-1628120127.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.58.2-1626302881.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.58.1-1626158358.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.58.0-1625728150.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.57.1-1623937083.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.57.0-1623259809.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.56.2-1620838566.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.56.1-1620296453.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.56.0-1620166346.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.55.2-1618307357.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.55.1-1617808495.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.55.0-1617120787.el8                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.54.3-1615806453.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.54.2-1615424933.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.54.1-1614898189.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.54.0-1614738615.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.53.2-1613044734.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.53.1-1612827854.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.53.0-1612368438.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.52.1-1608137084.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.52.0-1607640984.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.51.1-1605051791.el7                        | x86_64
v  | Visual Studio Code                     | code                                       | 1.51.0-1604600907.el7                        | x86_64
